	STOCK 1	STOCK 2
17.01.2025	-0,014809569	0,042654885
18.01.2025	-0,001436581	0,005309358
19.01.2025	-0,019480265	0,047997831
20.01.2025	0,027537243	-0,026967021
21.01.2025	0,004490883	-0,010257585
23.01.2025	-0,000947446	-0,01344109
24.01.2025	0,015230693	0,006733526
25.01.2025	-0,003720169	-0,00890092
26.01.2025	0,01970861	-0,029467727
27.01.2025	0,016460528	0,011129733
28.01.2025	0,000448159	-0,011782624
29.01.2025	-0,009237177	0,021532499
30.01.2025	-0,012359756	-0,009897346
31.01.2025	-0,008993174	-0,004235067
01.01.2026	0,025480999	0,007730504
02.01.2026	-0,001474707	-0,039222353
03.01.2026	-0,015033154	0,018729837
04.01.2026	-0,017453941	0,018957274
05.01.2026	-0,023145039	0,010633583
08.01.2026	0,010463264	-0,015187843
09.01.2026	0,005449419	0,012327716
10.01.2026	-0,019208012	0,035241782
11.01.2026	0,003915604	-0,012354782
12.01.2026	-0,01374115	0,034338042
13.01.2026	-0,026203924	0,025681316
14.01.2026	0,038742597	-0,005694088
16.01.2026	0,005470562	0,057268797
17.01.2026	-0,013692249	0,002463393
18.01.2026	-0,01006938	0,051404795
19.01.2026	0,012362843	0,011490257
20.01.2026	-0,005117476	0,032657346
21.01.2026	-0,000134622	-0,021676474
23.01.2026	-0,008971467	-0,016180113
24.01.2026	0,00249268	0,010039764
25.01.2026	0,013940836	-0,013525388
26.01.2026	-0,018759279	0,035256102
27.01.2026	0,016203752	-0,018030367
28.01.2026	-0,015545652	0,035047577
29.01.2026	0,008302582	0,01016386
30.01.2026	-0,031778286	0,076598029
31.01.2026	0,011247324	-0,019163607
01.01.2027	-0,015814919	0,01317125
02.01.2027	0,015819182	0,005378807
03.01.2027	-0,004979334	0,004426122
04.01.2027	-0,003583126	-0,010058162
05.01.2027	0,03259823	0,031593431
08.01.2027	0,035095589	0,043694814
09.01.2027	-0,028843886	0,06223075
10.01.2027	-0,044861107	0,016077378
11.01.2027	-0,000871879	-0,010393938
12.01.2027	-0,004153836	-0,018137789
13.01.2027	0,000147519	0,004662817
14.01.2027	-0,009725997	-0,029209557
16.01.2027	0,034793553	-0,012007468
17.01.2027	0,018880269	-0,015716384
18.01.2027	0,013794651	-0,019041083
19.01.2027	-0,020727495	0,038287899
20.01.2027	-0,012478102	0,013207832
21.01.2027	-0,01334576	-0,000171337
23.01.2027	-0,006906741	0,031341799
24.01.2027	-0,034094601	0,094338002
25.01.2027	0,012602554	0,019137498
26.01.2027	0,021325505	-0,027465461
27.01.2027	0,004095627	-0,016907169
28.01.2027	-0,040303019	0,129407171
29.01.2027	0,017138694	0,044964045
30.01.2027	0,006391413	0,017759354
31.01.2027	-0,014069379	0,019672443
01.01.2028	0,027628352	-0,016736365
02.01.2028	-0,007649901	0,022644858
03.01.2028	-0,004684082	0,02232248
04.01.2028	-0,000100158	-0,031710695
05.01.2028	0,020581313	0,000345904
08.01.2028	-0,004380529	-0,004026877
09.01.2028	-0,033682735	0,044027806
10.01.2028	-0,010500213	-0,008788494
11.01.2028	0,027802985	-0,02282713
12.01.2028	0,012821608	0,044945752
13.01.2028	-0,013729112	0,020736232
14.01.2028	0,031671611	0,000328372
16.01.2028	0,00036288	-0,006999173
17.01.2028	-0,004155274	0,009316556
18.01.2028	-0,002956961	-0,004357494
19.01.2028	-0,005724862	0,010752542
20.01.2028	-0,012518747	0,01674435
21.01.2028	0,005842791	-0,022992611
23.01.2028	-0,00079432	-0,037901481
24.01.2028	-0,024856336	-0,037521709
25.01.2028	-0,025536602	0,030786382
26.01.2028	-0,028201162	-0,001247604
27.01.2028	0,010179	-0,016391746
28.01.2028	-0,018435074	0,030594796
29.01.2028	0,021391541	-0,005658803
30.01.2028	-0,005972558	-0,02589206
31.01.2028	0,006655597	0,001261142
01.01.2029	-0,00501093	0,022984374
02.01.2029	-0,010139432	0,005685765
03.01.2029	0,036098551	0,015876483
04.01.2029	0,005583565	-0,032586563
05.01.2029	-0,006563005	-0,010578575
08.01.2029	-0,022269166	0,0258497
09.01.2029	0,011774556	-0,01199871
